"metric","stage","sites","range","tau5","tau","tau95","p","dispersion","area","speciesN"
"gcell","Leonardian",3,1.36398081172561,0.264265042725161,0.318954103526617,0.38416353905176,1.02458597466724e-07,4716.57206709196,88599.6916446008,171
"gcell","Leonardian",5,1.5412474862018,0.333114835723041,0.376427441899919,0.427521595194322,6.43926992122604e-11,4716.57206709196,88599.6916446008,171
"gcell","Leonardian",7,1.65701302104863,0.372835501069816,0.409280167283819,0.449605787678066,5.1892722463424e-13,4716.57206709196,88599.6916446008,171
"gcell","Leonardian",10,1.77392363039185,0.398552992941913,0.429792825242992,0.468687697048558,1.47321875117657e-14,4716.57206709196,88599.6916446008,171
"gcell","Leonardian",15,1.89521325383835,0.413551598787915,0.450104512291664,0.475563983455752,4.10020511664906e-16,4716.57206709196,88599.6916446008,171
"gcell","Leonardian",20,1.97780821123613,0.426726621423604,0.452828617862417,0.480510351201417,1.63224434689327e-16,4716.57206709196,88599.6916446008,171
"gcell","Chesterian",3,1.26623361005506,0.274496028227364,0.336159491298088,0.396394923889705,1.47324289020869e-07,5082.14955220225,49170.1693231065,151
"gcell","Chesterian",5,1.39820362291928,0.322552079544294,0.366215068053331,0.402239118530776,3.29642828816057e-09,5082.14955220225,49170.1693231065,151
"gcell","Chesterian",7,1.4857894152631,0.353885206317477,0.388020258315872,0.415722431352815,2.14928235963992e-10,5082.14955220225,49170.1693231065,151
"gcell","Chesterian",10,1.57305344617567,0.368656990014664,0.403391270848268,0.432650734619677,2.38470397605879e-11,5082.14955220225,49170.1693231065,151
"gcell","Chesterian",15,1.67179209218717,0.398305915105712,0.4193928292583,0.44347274021343,2.48977532911933e-12,5082.14955220225,49170.1693231065,151
"gcell","Chesterian",20,1.73707884375255,0.407158590600219,0.428260685090858,0.447560122990707,6.64820222808353e-13,5082.14955220225,49170.1693231065,151
"gcell","Kinderhookian",3,1.3274420491637,0.277733235884978,0.349950308137845,0.414862662393446,9.70578504563576e-08,5362.40446676549,70905.9092518669,144
"gcell","Kinderhookian",5,1.48151003117926,0.361580936221372,0.419802851475608,0.486070223855269,3.54150976933543e-11,5362.40446676549,70905.9092518669,144
"gcell","Kinderhookian",7,1.5811978880356,0.399501520066891,0.450472450221792,0.506600394967793,3.76377179910707e-13,5362.40446676549,70905.9092518669,144
"gcell","Kinderhookian",10,1.67989293815991,0.439410734010058,0.482111663966022,0.518181591649957,3.60209111280569e-15,5362.40446676549,70905.9092518669,144
"gcell","Kinderhookian",15,1.78556185611993,0.467292890184722,0.502809590467012,0.531751683538065,1.1414660992199e-16,5362.40446676549,70905.9092518669,144
"gcell","Kinderhookian",20,1.85667568556209,0.47293596812771,0.506132143036111,0.536797079176233,3.60282822734196e-17,5362.40446676549,70905.9092518669,144
"gcell","Wolfcampian",3,1.34608214246295,0.286356790397526,0.353737925239297,0.401598200610088,3.03035817264647e-12,5640.07726505589,51463.6934721114,237
"gcell","Wolfcampian",5,1.51720735664,0.377085404907875,0.415133917571076,0.452384081318875,1.73900868856689e-17,5640.07726505589,51463.6934721114,237
"gcell","Wolfcampian",7,1.61966519944366,0.405155423842688,0.442818346327257,0.473735189479031,2.88377933874216e-20,5640.07726505589,51463.6934721114,237
"gcell","Wolfcampian",10,1.72414899967486,0.429098855267848,0.460244373557076,0.485271229456453,2.74083249349526e-22,5640.07726505589,51463.6934721114,237
"gcell","Wolfcampian",15,1.8346731442853,0.445292906050315,0.465433278397323,0.486510075929642,2.80318858601735e-23,5640.07726505589,51463.6934721114,237
"gcell","Wolfcampian",20,1.90605195088622,0.452606447991252,0.472362177600754,0.487255787164981,3.41739780942111e-24,5640.07726505589,51463.6934721114,237
"gcell","Osagean",3,1.38654953097096,0.338679696246486,0.405023289405855,0.470231872572184,2.48341577460002e-11,5985.73607934559,50409.543630228,166
"gcell","Osagean",5,1.57770487972201,0.440006277195769,0.481673810141187,0.535681902102683,1.0358943085179e-16,5985.73607934559,50409.543630228,166
"gcell","Osagean",7,1.69816770327264,0.479237182902768,0.525612109781059,0.554085349844303,3.5729354975307e-20,5985.73607934559,50409.543630228,166
"gcell","Osagean",10,1.81945690518019,0.517369357168646,0.553564296213911,0.588604575301166,7.65540886512919e-23,5985.73607934559,50409.543630228,166
