"metric","stage","sites","range","tau5","tau","tau95","p","dispersion","area","speciesN"
"gcell","Lopingian",20,2.45269638879471,0.237192137133776,0.265069451512572,0.322460543129854,3.92288099768899e-05,919.715755415681,6818.48979849024,123
"gcell","Lopingian",55,2.90193460869448,0.256224047974812,0.270023313375307,0.280541718641609,1.89533325174889e-05,919.715755415681,6818.48979849024,123
"gcell","Lopingian",148,2.96741357007605,0.270023313375307,0.270023313375307,0.270023313375307,1.89533325174889e-05,919.715755415681,6818.48979849024,123
"gcell","Lopingian",403,2.96741357007605,0.270023313375307,0.270023313375307,0.270023313375307,1.89533325174889e-05,919.715755415681,6818.48979849024,123
"gcell","Lopingian",1097,2.96741357007605,0.270023313375307,0.270023313375307,0.270023313375307,1.89533325174889e-05,919.715755415681,6818.48979849024,123
"gcell","Guadalupian",7,1.73071620209359,0.361544731453553,0.459582368572636,0.537922819178941,1.35636382810254e-12,3410.7672108729,51482.7589583706,170
"gcell","Guadalupian",20,2.5689221150578,0.412839642027613,0.500635247031988,0.548762226634736,1.7252065134511e-18,3410.7672108729,51482.7589583706,170
"gcell","Guadalupian",55,3.76181510073739,0.469745661524897,0.509241262554974,0.533885450864111,2.7367560824325e-21,3410.7672108729,51482.7589583706,170
"gcell","Guadalupian",148,5.1081307837624,0.485989362873219,0.507962503970042,0.520638594920937,4.33841455743364e-22,3410.7672108729,51482.7589583706,170
"gcell","Guadalupian",403,5.98664548647659,0.501062688842731,0.506518745652439,0.512086659727461,3.19122221184932e-22,3410.7672108729,51482.7589583706,170
"gcell","Guadalupian",1097,6.09829911419422,0.506111958196851,0.506111958196851,0.506111958196851,3.4491239068273e-22,3410.7672108729,51482.7589583706,170
"gcell","Meramecian",7,2.0699130377317,0.480653148920813,0.561065789375467,0.623710159833342,6.80371332084293e-10,4673.4046674481,44242.0861145043,85
"gcell","Meramecian",20,3.09522976787985,0.507666733274895,0.564485308185812,0.615347051628213,6.76849476692558e-12,4673.4046674481,44242.0861145043,85
"gcell","Meramecian",55,4.47567549297372,0.507310788593497,0.553887208516429,0.594418882479103,1.24520875128474e-12,4673.4046674481,44242.0861145043,85
"gcell","Meramecian",148,5.84557689618122,0.507235315462,0.527404280412373,0.565182535340181,4.2289398496958e-12,4673.4046674481,44242.0861145043,85
"gcell","Meramecian",403,6.50292325990053,0.5120769484502,0.514641395439094,0.518607833371842,9.34603244651207e-12,4673.4046674481,44242.0861145043,85
"gcell","Meramecian",1097,6.5385140463528,0.514284805645156,0.514284805645156,0.514284805645156,9.59405743497213e-12,4673.4046674481,44242.0861145043,85
"gcell","Leonardian",7,1.74513664659333,0.362003692706953,0.462844597644862,0.534875550039718,8.35465209159662e-13,4716.57206709196,88599.6916446008,171
"gcell","Leonardian",20,2.5402514639493,0.393408419890352,0.463436225777938,0.517279251297529,3.27441312759367e-16,4716.57206709196,88599.6916446008,171
"gcell","Leonardian",55,3.7074910833273,0.419793704679933,0.460329622261903,0.501844025600661,2.6880661171177e-18,4716.57206709196,88599.6916446008,171
"gcell","Leonardian",148,5.08900121713154,0.443273363563297,0.469301077468766,0.4931946335578,4.6947275856652e-20,4716.57206709196,88599.6916446008,171
"gcell","Leonardian",403,6.00536318528301,0.468057810602308,0.476793393342871,0.482151956506772,6.46824371174188e-21,4716.57206709196,88599.6916446008,171
"gcell","Leonardian",1097,6.14141769811116,0.475734755815668,0.475734755815668,0.475734755815668,7.60861529005204e-21,4716.57206709196,88599.6916446008,171
"gcell","Chesterian",7,1.92464022695863,0.390646328774354,0.468256199523409,0.541089628559471,3.47289879280599e-09,5082.14955220225,49170.1693231065,151
"gcell","Chesterian",20,2.80007367016088,0.411832803724792,0.458606507366816,0.512201325242719,7.28378724058532e-12,5082.14955220225,49170.1693231065,151
"gcell","Chesterian",55,3.29745802117195,0.41885200181209,0.467171411157514,0.509552166741173,1.66080650251465e-15,5082.14955220225,49170.1693231065,151
"gcell","Chesterian",148,4.35939229118474,0.437642660825072,0.479777540372406,0.503210894088176,3.39739450452965e-18,5082.14955220225,49170.1693231065,151
"gcell","Chesterian",403,5.04203139127245,0.471233774715969,0.484489616121509,0.488207982537349,6.38059311023526e-19,5082.14955220225,49170.1693231065,151
"gcell","Chesterian",1097,5.13541203627856,0.484473096785032,0.484473096785032,0.484473096785032,6.45493485414053e-19,5082.14955220225,49170.1693231065,151
"gcell","Kinderhookian",7,2.04497086962239,0.506595173708582,0.57412180506013,0.641004008398369,2.04099244186377e-11,5362.40446676549,70905.9092518669,144
"gcell","Kinderhookian",20,2.57204271452568,0.476813900822889,0.53652387643548,0.612540076915117,1.89210247733428e-13,5362.40446676549,70905.9092518669,144
"gcell","Kinderhookian",55,3.4207507343965,0.461609897709177,0.491749005115187,0.54978486123426,3.39415852087102e-15,5362.40446676549,70905.9092518669,144
"gcell","Kinderhookian",148,4.5112880982521,0.461796540962743,0.491091350600191,0.511296079465739,2.11389700651698e-17,5362.40446676549,70905.9092518669,144
"gcell","Kinderhookian",403,5.30874734721325,0.486738926315074,0.500737487162439,0.504485350488682,1.76937903975257e-18,5362.40446676549,70905.9092518669,144
"gcell","Kinderhookian",1097,5.43477657544009,0.50021734492566,0.50021734492566,0.50021734492566,1.88039050832488e-18,5362.40446676549,70905.9092518669,144
"gcell","Wolfcampian",7,1.62245625392273,0.357444761748297,0.520639644282134,0.669367369378106,8.03617020260666e-19,5640.07726505589,51463.6934721114,237
