"species","chull","latrange","gcd","gcell"
"Urocitellus_washingtoni",17294.94466,2.3183,270.4963809,3
"Urocyon_cinereoargenteus",6061623.462,24.43698116,4512.862471,104
"Urocyon_littoralis",859.1869114,1.27506531,236.9833726,1
"Vulpes_macrotis",977363.573,14.42516192,2417.452761,29
"Vulpes_velox",1191471.402,17.52295642,2196.653704,27
"Vulpes_vulpes",5812406.959,22.99455493,4654.750756,105
"Xerospermophilus_mohavensis",22711.97574,2.10774336,244.4662755,2
"Xerospermophilus_spilosoma",1189849.492,17.85828671,2016.988986,30
"Xerospermophilus_tereticaudus",216347.1884,5.69457136,822.3203585,7
"Zapus_hudsonius",3364399.554,17.71112241,3962.264631,63
"Zapus_princeps",1747871.097,13.90447641,2288.044984,38
"Zapus_trinotatus",153673.9289,11.183466,1249.219966,10
